Country,Item,Proportion,Succesful Replication,Sample Size
Hong Kong,4,0.6125,Yes,160
Hungary,4,0.5308641975308642,No,243
Ireland,4,0.421875,No,256
Italy,4,0.45514950166112955,No,301
Mainland China,4,0.6756756756756757,Yes,259
Norway,4,0.4690265486725664,No,226
Serbia,4,0.5934959349593496,Yes,246
Slovenia,4,0.5594059405940595,No,202
Spain,4,0.5527638190954773,No,199
Sweden,4,0.45323741007194246,No,139
UK,4,0.49310344827586206,No,290
USA,4,0.43209876543209874,No,243
Australia,5,0.09574468085106383,Yes,282
Austria,5,0.12612612612612611,Yes,111
Belgium,5,0.07291666666666667,Yes,192
Bulgaria,5,0.12598425196850394,Yes,127
Chile,5,0.09655172413793103,Yes,145
Denmark,5,0.08,Yes,150
Germany,5,0.08868501529051988,Yes,327
Hong Kong,5,0.20625,Yes,160
Hungary,5,0.0823045267489712,Yes,243
Ireland,5,0.0546875,Yes,256
Italy,5,0.09302325581395349,Yes,301
Mainland China,5,0.24324324324324326,Yes,259
Norway,5,0.06637168141592921,Yes,226
Serbia,5,0.22357723577235772,Yes,246
Slovenia,5,0.10396039603960396,Yes,202
Spain,5,0.11557788944723618,Yes,199
Sweden,5,0.02158273381294964,Yes,139
UK,5,0.07241379310344828,Yes,290
USA,5,0.09465020576131687,Yes,243
Australia,6,0.6737588652482269,Yes,282
Austria,6,0.6576576576576577,Yes,111
Belgium,6,0.65625,Yes,192
Bulgaria,6,0.6456692913385826,Yes,127
Chile,6,0.6068965517241379,Yes,145
Denmark,6,0.6133333333333333,Yes,150
Germany,6,0.6666666666666666,Yes,327
Hong Kong,6,0.675,Yes,160
Hungary,6,0.6831275720164609,Yes,243
Ireland,6,0.6015625,Yes,256
Italy,6,0.6777408637873754,Yes,301
Mainland China,6,0.7606177606177607,Yes,259
Norway,6,0.6415929203539823,Yes,226
Serbia,6,0.7073170731707317,Yes,246
Slovenia,6,0.6089108910891089,Yes,202
Spain,6,0.6180904522613065,Yes,199
Sweden,6,0.6115107913669064,Yes,139
UK,6,0.6379310344827587,Yes,290
USA,6,0.6255144032921811,Yes,243
Australia,7,0.6950354609929078,Yes,282
Austria,7,0.8288288288288288,Yes,111
Belgium,7,0.8333333333333334,Yes,192
Bulgaria,7,0.8582677165354331,Yes,127
Chile,7,0.8275862068965517,Yes,145
Denmark,7,0.8066666666666666,Yes,150
Germany,7,0.7706422018348624,Yes,327
Hong Kong,7,0.7125,Yes,160
Hungary,7,0.831275720164609,Yes,243
Ireland,7,0.8359375,Yes,256
Italy,7,0.8106312292358804,Yes,301
Mainland China,7,0.8223938223938224,Yes,259
Norway,7,0.8362831858407079,Yes,226
Serbia,7,0.8252032520325203,Yes,246
Slovenia,7,0.7574257425742574,Yes,202
Spain,7,0.7587939698492462,Yes,199
Sweden,7,0.8129496402877698,Yes,139
UK,7,0.7517241379310344,Yes,290
USA,7,0.7736625514403292,Yes,243
Australia,8,0.4326241134751773,NA,282
Austria,8,0.4594594594594595,NA,111
Belgium,8,0.5104166666666666,NA,192
Bulgaria,8,0.5984251968503937,NA,127
Chile,8,0.5586206896551724,NA,145
Denmark,8,0.47333333333333333,NA,150
Germany,8,0.5076452599388379,NA,327
Hong Kong,8,0.43125,NA,160
Hungary,8,0.5473251028806584,NA,243
Ireland,8,0.609375,NA,256
Italy,8,0.5481727574750831,NA,301
Mainland China,8,0.4826254826254826,NA,259
Norway,8,0.4469026548672566,NA,226
Serbia,8,0.556910569105691,NA,246
Slovenia,8,0.5346534653465347,NA,202
Spain,8,0.4723618090452261,NA,199
Sweden,8,0.4460431654676259,NA,139
UK,8,0.4206896551724138,NA,290
USA,8,0.5185185185185185,NA,243
Australia,9,0.8156028368794326,Yes,282
Austria,9,0.8108108108108109,Yes,111
Belgium,9,0.828125,Yes,192
Bulgaria,9,0.8110236220472441,Yes,127
Chile,9,0.7724137931034483,Yes,145
Denmark,9,0.8333333333333334,Yes,150
Germany,9,0.8195718654434251,Yes,327
Hong Kong,9,0.69375,Yes,160
Hungary,9,0.8189300411522634,Yes,243
Ireland,9,0.8125,Yes,256
Italy,9,0.7674418604651163,Yes,301
Mainland China,9,0.7065637065637066,Yes,259
Norway,9,0.8407079646017699,Yes,226
Serbia,9,0.7073170731707317,Yes,246
Slovenia,9,0.7821782178217822,Yes,202
Spain,9,0.8693467336683417,Yes,199
Sweden,9,0.7769784172661871,Yes,139
UK,9,0.8137931034482758,Yes,290
USA,9,0.8148148148148148,Yes,243
Australia,10,0.3404255319148936,Yes,282
Austria,10,0.3783783783783784,Yes,111
Belgium,10,0.3802083333333333,Yes,192
Bulgaria,10,0.5590551181102362,No,127
Chile,10,0.503448275862069,No,145
Denmark,10,0.3333333333333333,Yes,150
Germany,10,0.3853211009174312,Yes,327
Hong Kong,10,0.425,No,160
Hungary,10,0.43621399176954734,Yes,243
Ireland,10,0.46484375,No,256
Italy,10,0.4418604651162791,Yes,301
Mainland China,10,0.5057915057915058,No,259
Norway,10,0.3495575221238938,Yes,226
Serbia,10,0.4634146341463415,No,246
Slovenia,10,0.5495049504950495,No,202
Spain,10,0.457286432160804,No,199
Sweden,10,0.381294964028777,Yes,139
UK,10,0.3931034482758621,Yes,290
USA,10,0.4279835390946502,Yes,243
Australia,11,0.1453900709219858,Yes,282
Austria,11,0.08108108108108109,Yes,111
Belgium,11,0.13541666666666666,Yes,192
Bulgaria,11,0.16535433070866143,Yes,127
Chile,11,0.16551724137931034,Yes,145
Denmark,11,0.11333333333333333,Yes,150
Germany,11,0.1712538226299694,Yes,327
Hong Kong,11,0.25625,Yes,160
Hungary,11,0.13168724279835392,Yes,243
Ireland,11,0.1015625,Yes,256
Italy,11,0.11960132890365449,Yes,301
Mainland China,11,0.2972972972972973,Yes,259
Norway,11,0.11061946902654868,Yes,226
Serbia,11,0.1910569105691057,Yes,246
Slovenia,11,0.21782178217821782,Yes,202
Spain,11,0.1708542713567839,Yes,199
Sweden,11,0.15827338129496402,Yes,139
UK,11,0.15172413793103448,Yes,290
USA,11,0.14814814814814814,Yes,243
Australia,12,0.2624113475177305,Yes,282
Austria,12,0.1891891891891892,Yes,111
Belgium,12,0.2760416666666667,Yes,192
Bulgaria,12,0.2677165354330709,Yes,127
Chile,12,0.16551724137931034,Yes,145
Denmark,12,0.29333333333333333,Yes,150
Germany,12,0.2874617737003058,Yes,327
Hong Kong,12,0.26875,Yes,160
Hungary,12,0.21810699588477367,Yes,243
Ireland,12,0.17578125,Yes,256
Italy,12,0.31893687707641194,Yes,301
Mainland China,12,0.3436293436293436,Yes,259
Norway,12,0.2743362831858407,Yes,226
Serbia,12,0.3130081300813008,Yes,246
Slovenia,12,0.3217821782178218,Yes,202
Spain,12,0.1658291457286432,Yes,199
Sweden,12,0.2517985611510791,Yes,139
UK,12,0.1896551724137931,Yes,290
USA,12,0.17695473251028807,Yes,243
Australia,13,0.5283687943262412,No,282
Austria,13,0.6216216216216216,Yes,111
Belgium,13,0.6510416666666666,Yes,192
Bulgaria,13,0.6535433070866141,Yes,127
Chile,13,0.7034482758620689,Yes,145
Denmark,13,0.5866666666666667,Yes,150
Germany,13,0.5840978593272171,Yes,327
Hong Kong,13,0.69375,Yes,160
Hungary,13,0.6049382716049383,Yes,243
Ireland,13,0.6171875,Yes,256
Italy,13,0.521594684385382,No,301
Mainland China,13,0.752895752895753,Yes,259
Norway,13,0.6415929203539823,Yes,226
Serbia,13,0.6097560975609756,Yes,246
Slovenia,13,0.5544554455445545,No,202
Spain,13,0.6532663316582915,Yes,199
Sweden,13,0.4676258992805755,No,139
UK,13,0.5758620689655173,Yes,290
USA,13,0.6707818930041153,Yes,243
Australia,14,0.15891472868217055,Yes,258
Austria,14,0.14414414414414414,Yes,111
Belgium,14,0.2670157068062827,Yes,191
Bulgaria,14,0.2047244094488189,Yes,127
Chile,14,0.10344827586206896,Yes,145
Denmark,14,0.18,Yes,150
Germany,14,0.14984709480122324,Yes,327
Hong Kong,14,0.23648648648648649,Yes,148
Hungary,14,0.13991769547325103,Yes,243
Ireland,14,0.17714285714285713,Yes,175
Italy,14,0.16943521594684385,Yes,301
Mainland China,14,0.301255230125523,Yes,239
Norway,14,0.1902439024390244,Yes,205
Serbia,14,0.23404255319148937,Yes,235
Slovenia,14,0.1691542288557214,Yes,201
Spain,14,0.16939890710382513,Yes,183
Sweden,14,0.14388489208633093,Yes,139
UK,14,0.1225296442687747,Yes,253
USA,14,0.12757201646090535,Yes,243
Australia,15,0.5575539568345323,No,278
Austria,15,0.6486486486486487,Yes,111
Belgium,15,0.6387434554973822,Yes,191
Bulgaria,15,0.6456692913385826,Yes,127
Chile,15,0.6482758620689655,Yes,145
Denmark,15,0.5266666666666666,No,150
Germany,15,0.6085626911314985,Yes,327
Hong Kong,15,0.551948051948052,No,154
Hungary,15,0.5925925925925926,Yes,243
Ireland,15,0.7196652719665272,Yes,239
Italy,15,0.5946843853820598,Yes,301
Mainland China,15,0.6070038910505836,Yes,257
Norway,15,0.6153846153846154,Yes,221
Serbia,15,0.6348547717842323,Yes,241
Slovenia,15,0.5742574257425742,Yes,202
Spain,15,0.6666666666666666,Yes,198
Sweden,15,0.5827338129496403,No,139
UK,15,0.6982456140350877,Yes,285
USA,15,0.5720164609053497,Yes,243
Australia,16,0.6347517730496454,Yes,282
Austria,16,0.5585585585585585,No,111
Belgium,16,0.4635416666666667,No,192
Bulgaria,16,0.6220472440944882,Yes,127
Chile,16,0.4482758620689655,No,145
Denmark,16,0.6,Yes,150
Germany,16,0.4954128440366973,No,327
Hong Kong,16,0.6,Yes,160
Hungary,16,0.6213991769547325,Yes,243
Ireland,16,0.47265625,No,256
Italy,16,0.5548172757475083,No,301
Mainland China,16,0.6061776061776062,Yes,259
Norway,16,0.7566371681415929,Yes,226
Serbia,16,0.6747967479674797,Yes,246
Slovenia,16,0.5841584158415841,Yes,202
Spain,16,0.6130653266331658,Yes,199
Sweden,16,0.60431654676259,Yes,139
UK,16,0.6068965517241379,Yes,290
USA,16,0.3991769547325103,No,243
Australia,17,0.36524822695035464,Yes,282
Austria,17,0.44144144144144143,No,111
Belgium,17,0.4427083333333333,No,192
Bulgaria,17,0.6062992125984252,No,127
Chile,17,0.5379310344827586,No,145
Denmark,17,0.3933333333333333,Yes,150
Germany,17,0.4617737003058104,No,327
Hong Kong,17,0.4625,No,160
Hungary,17,0.43209876543209874,Yes,243
Ireland,17,0.44921875,No,256
Italy,17,0.4053156146179402,Yes,301
Mainland China,17,0.4555984555984556,No,259
Norway,17,0.3274336283185841,Yes,226
Serbia,17,0.5040650406504065,No,246
Slovenia,17,0.4207920792079208,Yes,202
Spain,17,0.44221105527638194,No,199
Sweden,17,0.302158273381295,Yes,139
UK,17,0.3310344827586207,Yes,290
USA,17,0.4444444444444444,No,243
